,ticker,datePurchased,quantity,costBasis,totalCost,date,stockclosevalue,tickername_x,splitdate,stocksplits,tickername_y,nextsplitdate,cumQuantity
0,AAPL,2021-01-01,0.0,0.0,0.0,,,,,,,,
1,AAPL,2021-01-02,0.0,0.0,0.0,,,,,,,,
2,AAPL,2021-01-03,0.0,0.0,0.0,,,,,,,,
3,AAPL,2021-01-04,0.0,0.0,0.0,2021-01-04,129.41000366210938,AAPL,,,,,
4,AAPL,2021-01-05,0.0,0.0,0.0,2021-01-05,131.00999450683594,AAPL,,,,,
5,AAPL,2021-01-06,0.0,0.0,0.0,2021-01-06,126.5999984741211,AAPL,,,,,
6,AAPL,2021-01-07,0.0,0.0,0.0,2021-01-07,130.9199981689453,AAPL,,,,,
7,AAPL,2021-01-08,0.0,0.0,0.0,2021-01-08,132.0500030517578,AAPL,,,,,
8,AAPL,2021-01-09,0.0,0.0,0.0,,,,,,,,
9,AAPL,2021-01-10,0.0,0.0,0.0,,,,,,,,
10,AAPL,2021-01-11,0.0,0.0,0.0,2021-01-11,128.97999572753906,AAPL,,,,,
11,AAPL,2021-01-12,0.0,0.0,0.0,2021-01-12,128.8000030517578,AAPL,,,,,
12,AAPL,2021-01-13,0.0,0.0,0.0,2021-01-13,130.88999938964844,AAPL,,,,,
13,AAPL,2021-01-14,0.0,0.0,0.0,2021-01-14,128.91000366210938,AAPL,,,,,
14,AAPL,2021-01-15,0.0,0.0,0.0,2021-01-15,127.13999938964844,AAPL,,,,,
15,AAPL,2021-01-16,0.0,0.0,0.0,,,,,,,,
16,AAPL,2021-01-17,0.0,0.0,0.0,,,,,,,,
17,AAPL,2021-01-18,0.0,0.0,0.0,,,,,,,,
18,AAPL,2021-01-19,0.0,0.0,0.0,2021-01-19,127.83000183105469,AAPL,,,,,
19,AAPL,2021-01-20,0.0,0.0,0.0,2021-01-20,132.02999877929688,AAPL,,,,,
20,AAPL,2021-01-21,0.0,0.0,0.0,2021-01-21,136.8699951171875,AAPL,,,,,
21,AAPL,2021-01-22,0.0,0.0,0.0,2021-01-22,139.07000732421875,AAPL,,,,,
22,AAPL,2021-01-23,0.0,0.0,0.0,,,,,,,,
23,AAPL,2021-01-24,0.0,0.0,0.0,,,,,,,,
24,AAPL,2021-01-25,0.0,0.0,0.0,2021-01-25,142.9199981689453,AAPL,,,,,
25,AAPL,2021-01-26,0.0,0.0,0.0,2021-01-26,143.16000366210938,AAPL,,,,,
26,AAPL,2021-01-27,0.0,0.0,0.0,2021-01-27,142.05999755859375,AAPL,,,,,
27,AAPL,2021-01-28,0.0,0.0,0.0,2021-01-28,137.08999633789062,AAPL,,,,,
28,AAPL,2021-01-29,0.0,0.0,0.0,2021-01-29,131.9600067138672,AAPL,,,,,
29,AAPL,2021-01-30,0.0,0.0,0.0,,,,,,,,
30,AAPL,2021-01-31,0.0,0.0,0.0,,,,,,,,
31,AAPL,2021-02-01,0.0,0.0,0.0,2021-02-01,134.13999938964844,AAPL,,,,,
32,AAPL,2021-02-02,0.0,0.0,0.0,2021-02-02,134.99000549316406,AAPL,,,,,
33,AAPL,2021-02-03,0.0,0.0,0.0,2021-02-03,133.94000244140625,AAPL,,,,,
34,AAPL,2021-02-04,0.0,0.0,0.0,2021-02-04,137.38999938964844,AAPL,,,,,
35,AAPL,2021-02-05,0.0,0.0,0.0,2021-02-05,136.75999450683594,AAPL,,,,,
36,AAPL,2021-02-06,0.0,0.0,0.0,,,,,,,,
37,AAPL,2021-02-07,0.0,0.0,0.0,,,,,,,,
38,AAPL,2021-02-08,0.0,0.0,0.0,2021-02-08,136.91000366210938,AAPL,,,,,
39,AAPL,2021-02-09,0.0,0.0,0.0,2021-02-09,136.00999450683594,AAPL,,,,,
40,AAPL,2021-02-10,0.0,0.0,0.0,2021-02-10,135.38999938964844,AAPL,,,,,
41,AAPL,2021-02-11,0.0,0.0,0.0,2021-02-11,135.1300048828125,AAPL,,,,,
